,tijdstip;locatie;component;waarde;LKI
2019-01-01 21:00:00+01:00;Amsterdam-Vondelpark;NO;0,7;1
2019-01-01 21:00:00+01:00;Amsterdam-Vondelpark;O3;73,9;5
2019-01-01 21:00:00+01:00;Amsterdam-Vondelpark;FN;0,28;1
2019-01-01 21:00:00+01:00;Amsterdam-Vondelpark;PM10;24,9;3
2019-01-01 21:00:00+01:00;Amsterdam-Vondelpark;PM25;8,1;1
2019-01-01 21:00:00+01:00;Amsterdam-Vondelpark;NO2;11,2;2
2019-01-01 22:00:00+01:00;Amsterdam-Vondelpark;PM25;9,2;1
2019-01-01 22:00:00+01:00;Amsterdam-Vondelpark;CO;208,5;1
2019-01-01 22:00:00+01:00;Amsterdam-Vondelpark;NO;0,4;1
2019-01-01 22:00:00+01:00;Amsterdam-Vondelpark;O3;74,0;5
2019-01-01 22:00:00+01:00;Amsterdam-Vondelpark;FN;0,26;1
2019-01-01 22:00:00+01:00;Amsterdam-Vondelpark;PM10;27,0;3
2019-01-01 22:00:00+01:00;Amsterdam-Vondelpark;NO2;10,6;2
2019-01-01 23:00:00+01:00;Amsterdam-Vondelpark;PM10;29,1;3
2019-01-01 23:00:00+01:00;Amsterdam-Vondelpark;CO;223,9;1
2019-01-01 23:00:00+01:00;Amsterdam-Vondelpark;NO;0,4;1
2019-01-01 23:00:00+01:00;Amsterdam-Vondelpark;O3;74,6;5
2019-01-01 23:00:00+01:00;Amsterdam-Vondelpark;FN;0,21;1
2019-01-01 23:00:00+01:00;Amsterdam-Vondelpark;PM25;8,4;1
2019-01-01 23:00:00+01:00;Amsterdam-Vondelpark;NO2;8,1;1
2019-01-02 00:00:00+01:00;Amsterdam-Vondelpark;CO;211,4;1
2019-01-02 00:00:00+01:00;Amsterdam-Vondelpark;NO;0,3;1
2019-01-02 00:00:00+01:00;Amsterdam-Vondelpark;NO2;7,3;1
2019-01-02 00:00:00+01:00;Amsterdam-Vondelpark;O3;75,4;5
2019-01-02 00:00:00+01:00;Amsterdam-Vondelpark;FN;0,17;1
2019-01-02 00:00:00+01:00;Amsterdam-Vondelpark;PM10;23,9;3
2019-01-02 00:00:00+01:00;Amsterdam-Vondelpark;PM25;8,4;1
2019-01-02 01:00:00+01:00;Amsterdam-Vondelpark;FN;0,16;1
2019-01-02 01:00:00+01:00;Amsterdam-Vondelpark;CO;206,9;1
2019-01-02 01:00:00+01:00;Amsterdam-Vondelpark;NO;0,2;1
2019-01-02 01:00:00+01:00;Amsterdam-Vondelpark;O3;76,3;5
2019-01-02 01:00:00+01:00;Amsterdam-Vondelpark;PM10;28,1;3
2019-01-02 01:00:00+01:00;Amsterdam-Vondelpark;PM25;8,3;1
2019-01-02 01:00:00+01:00;Amsterdam-Vondelpark;NO2;7,2;1
2019-01-02 02:00:00+01:00;Amsterdam-Vondelpark;NO;0,2;1
2019-01-02 02:00:00+01:00;Amsterdam-Vondelpark;O3;77,7;5
